skillId,name,effectType,power,accuracy,cooldown,target,elementId,statusEffectId,description
gaea_skill_1,絡み根,ailment,24,86,2,ally,nerve,bind,拘束で行動を鈍らせる
gaea_skill_2,再生樹皮,heal,28,100,3,self,erosion,regen,自己回復する
gaea_skill_3,胞子煙,debuff,20,82,3,allies,sonic,accuracy_down,命中を下げる
gaea_skill_4,生命奔流,buff,20,100,4,self,poison,def_up_all,継戦能力を高める
gaea_boss_1,森核再生,heal,42,100,3,self,erosion,regen,ボス級の再生
gaea_boss_2,大樹拘束,ailment,38,88,3,allies,nerve,bind,全体拘束
gaea_boss_3,王核鼓動,buff,36,100,4,self,poison,def_up_all,耐久を上げる
sandria_skill_1,毒針,ailment,26,88,2,ally,poison,poison,毒を付与する
sandria_skill_2,砂煙,debuff,18,82,3,allies,sonic,accuracy_down,命中を下げる
sandria_skill_3,硬化殻,buff,20,100,3,self,acid,def_up_all,防御を上げる
sandria_skill_4,重砂圧,attack,30,86,2,ally,gravity,,重力属性攻撃
sandria_boss_1,砂塵再生,heal,36,100,3,self,poison,regen,砂をまとって再生する
sandria_boss_2,蠍王毒針,ailment,40,88,3,ally,poison,poison,強毒を付与する
sandria_boss_3,骨塚硬化,buff,34,100,4,self,gravity,def_up_all,大きく硬化する
abyss_skill_1,神経侵入,ailment,24,86,2,ally,nerve,bind,行動阻害
abyss_skill_2,深海麻痺,ailment,28,84,3,ally,thunder,paralysis,麻痺を狙う
abyss_skill_3,暗水攪乱,debuff,20,82,3,allies,sonic,accuracy_down,命中を下げる
abyss_skill_4,高圧波,attack,32,88,2,ally,gravity,,高圧攻撃
abyss_boss_1,王神経束,ailment,42,90,3,allies,nerve,bind,全体神経阻害
abyss_boss_2,深眼放電,attack,46,90,2,ally,thunder,paralysis,電撃攻撃
abyss_boss_3,竜宮圧壊,attack,48,86,3,allies,gravity,,全体高圧攻撃
ignis_skill_1,焼爪,ailment,30,88,2,ally,fire,burn,炎上を狙う
ignis_skill_2,炉心暴走,attack,42,82,3,ally,fire,,高火力攻撃
ignis_skill_3,赤熱反撃,counter,28,100,3,self,fire,atk_up_s,反撃態勢
ignis_skill_4,熱波,attack,30,86,2,allies,fire,burn,全体熱攻撃
ignis_boss_1,溶岩噴出,attack,46,86,2,allies,fire,burn,溶岩攻撃
ignis_boss_2,火炎異形化,buff,36,100,3,self,fire,atk_up_s,攻撃強化
ignis_boss_3,王炉心暴走,attack,56,82,4,allies,fire,,大火力攻撃
eden_skill_1,修復触手,heal,28,100,3,self,erosion,regen,自己修復
eden_skill_2,王種号令,buff,24,100,3,self,optical,atk_up_l,攻撃強化
eden_skill_3,白眼解除,cleanse,20,100,3,self,optical,,弱体を解除する
eden_skill_4,再構成,heal,34,100,4,self,erosion,regen,回復する
eden_boss_1,遺跡防壁,buff,38,100,3,self,optical,def_up_all,防御を上げる
eden_boss_2,セラフ再臨,heal,48,100,4,self,erosion,regen,大回復
eden_boss_3,エデン再構成,buff,42,100,4,self,erosion,atk_up_l,万能強化
