enemyId,weaponWeakType,elementWeakType,weaponWeakRate,elementWeakRate
gaea_morizume_wolf,melee,fire,1.50,1.50
gaea_kokegara_beetle,melee,acid,1.50,1.50
gaea_hanemaku_dori,melee,fire,1.50,1.50
gaea_nezuru_snake,melee,acid,1.50,1.50
gaea_tsunogoke_boar,melee,fire,1.50,1.50
gaea_kamakiri_gara,magic,acid,1.50,1.50
gaea_oojukara,melee,fire,1.50,1.50
gaea_tsutagara_nushi,melee,fire,1.50,1.50
gaea_ootsunomorigami,melee,acid,1.50,1.50
gaea_jukai_no_haha,melee,fire,1.50,1.50
gaea_kodaikiba_ookami,melee,acid,1.50,1.50
gaea_ou_gara,melee,fire,1.50,1.50
sandria_sunakiba_worm,ranged,acid,1.50,1.50
sandria_dokubari_sasori,ranged,gravity,1.50,1.50
sandria_honegara_lizard,ranged,acid,1.50,1.50
sandria_sabikamakiri,ranged,gravity,1.50,1.50
sandria_sunatsuno_crab,ranged,acid,1.50,1.50
sandria_dry_viper,magic,gravity,1.50,1.50
sandria_ganseki_balga,melee,acid,1.50,1.50
sandria_sunagara_golem,ranged,acid,1.50,1.50
sandria_dokubari_ou,ranged,gravity,1.50,1.50
sandria_honezuka_king,ranged,acid,1.50,1.50
sandria_sajin_hydra,ranged,gravity,1.50,1.50
sandria_ou_gara,ranged,acid,1.50,1.50
abyss_fukame_fish,magic,thunder,1.50,1.50
abyss_noukurage,magic,nerve,1.50,1.50
abyss_kaigara_ray,magic,thunder,1.50,1.50
abyss_numeri_arm,magic,nerve,1.50,1.50
abyss_eye,magic,thunder,1.50,1.50
abyss_kouatsu_manta,magic,nerve,1.50,1.50
abyss_nemuri_uogara,melee,thunder,1.50,1.50
abyss_kaigara_nushi,magic,thunder,1.50,1.50
abyss_noukurage_ou,magic,nerve,1.50,1.50
abyss_fukame_no_ou,magic,thunder,1.50,1.50
abyss_ryuuguu_worm,magic,nerve,1.50,1.50
abyss_ou_gara,magic,thunder,1.50,1.50
ignis_hizume_lizard,melee,cooling,1.50,1.50
ignis_yougan_beetle,melee,gravity,1.50,1.50
ignis_homura_bat,melee,cooling,1.50,1.50
ignis_magma_worm,melee,gravity,1.50,1.50
ignis_yaketsuno_boar,melee,cooling,1.50,1.50
ignis_enkamakiri,magic,gravity,1.50,1.50
ignis_kaen_drake,melee,cooling,1.50,1.50
ignis_yougan_nushi,melee,cooling,1.50,1.50
ignis_homura_chimera,melee,gravity,1.50,1.50
ignis_kazan_core_gara,melee,cooling,1.50,1.50
ignis_akaryuu_gara,melee,gravity,1.50,1.50
ignis_ou_gara,melee,cooling,1.50,1.50
eden_iseki_kiba_dog,ranged,erosion,1.50,1.50
eden_kanmuri_gara,ranged,nerve,1.50,1.50
eden_nou_drone,ranged,sonic,1.50,1.50
eden_shiro_megan,ranged,erosion,1.50,1.50
eden_outsuno_beast,ranged,nerve,1.50,1.50
eden_tsugihagi_tender,magic,sonic,1.50,1.50
eden_seikotsu_guard,melee,erosion,1.50,1.50
eden_iseki_guardian,ranged,erosion,1.50,1.50
eden_kanmuri_oujuu,ranged,nerve,1.50,1.50
eden_seraph_gara,ranged,sonic,1.50,1.50
eden_kodai_core_beast,ranged,erosion,1.50,1.50
eden_ou_gara,ranged,erosion,1.50,1.50
